precedence+++    |arg2-as-detail+++|-0.27  |  discogem_multi_leaves_continuous_CLR_pearson
arg1-as-cond     |arg1-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-cond     |arg2-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-cond     |arg1-as-excpt    |+1.00  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-cond     |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-cond     |arg2-as-subst    |+0.85  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-cond     |arg1-as-negcond  |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-cond     |arg2-as-negcond  |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-cond     |arg1-as-goal     |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-cond     |arg2-as-goal     |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-cond     |disjunction      |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-cond     |arg1-as-instance |+0.93  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-cond     |equivalence      |+0.89  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-cond     |arg1-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-cond     |arg2-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-cond     |arg1-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-cond     |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-cond     |arg2-as-subst    |+0.84  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-negcond  |arg2-as-negcond  |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-negcond  |arg1-as-goal     |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-negcond  |arg2-as-goal     |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-negcond  |disjunction      |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-negcond  |arg1-as-instance |+0.92  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-negcond  |equivalence      |+0.89  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-negcond  |arg1-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-negcond  |arg2-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-negcond  |arg1-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-negcond  |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-negcond  |arg2-as-subst    |+0.84  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-negcond  |arg1-as-goal     |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-negcond  |arg2-as-goal     |+1.00  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-negcond  |disjunction      |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-negcond  |arg1-as-instance |+0.93  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-negcond  |equivalence      |+0.90  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-negcond  |arg1-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-negcond  |arg2-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-negcond  |arg1-as-excpt    |+1.00  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-negcond  |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-negcond  |arg2-as-subst    |+0.85  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-goal     |arg2-as-goal     |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-goal     |disjunction      |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-goal     |arg1-as-instance |+0.93  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-goal     |equivalence      |+0.89  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-goal     |arg1-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-goal     |arg2-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-goal     |arg1-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-goal     |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-goal     |arg2-as-subst    |+0.84  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-goal     |disjunction      |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-goal     |arg1-as-instance |+0.92  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-goal     |equivalence      |+0.89  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-goal     |arg1-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-goal     |arg2-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-goal     |arg1-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-goal     |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-goal     |arg2-as-subst    |+0.84  |  discogem_multi_leaves_continuous_CLR_spearman
disjunction      |arg1-as-instance |+0.92  |  discogem_multi_leaves_continuous_CLR_spearman
disjunction      |equivalence      |+0.89  |  discogem_multi_leaves_continuous_CLR_spearman
disjunction      |arg1-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
disjunction      |arg2-as-manner   |+0.97  |  discogem_multi_leaves_continuous_CLR_spearman
disjunction      |arg1-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
disjunction      |arg2-as-excpt    |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
disjunction      |arg2-as-subst    |+0.84  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-instance |equivalence      |+0.83  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-instance |arg1-as-manner   |+0.92  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-instance |arg2-as-manner   |+0.92  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-instance |arg1-as-excpt    |+0.93  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-instance |arg2-as-excpt    |+0.92  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-instance |arg2-as-subst    |+0.79  |  discogem_multi_leaves_continuous_CLR_spearman
equivalence      |arg1-as-manner   |+0.89  |  discogem_multi_leaves_continuous_CLR_spearman
equivalence      |arg2-as-manner   |+0.88  |  discogem_multi_leaves_continuous_CLR_spearman
equivalence      |arg1-as-excpt    |+0.90  |  discogem_multi_leaves_continuous_CLR_spearman
equivalence      |arg2-as-excpt    |+0.89  |  discogem_multi_leaves_continuous_CLR_spearman
equivalence      |arg2-as-subst    |+0.77  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-manner   |arg2-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-manner   |arg1-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-manner   |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-manner   |arg2-as-subst    |+0.84  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-manner   |arg1-as-excpt    |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-manner   |arg2-as-excpt    |+0.98  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-manner   |arg2-as-subst    |+0.83  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-excpt    |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_spearman
arg1-as-excpt    |arg2-as-subst    |+0.85  |  discogem_multi_leaves_continuous_CLR_spearman
arg2-as-excpt    |arg2-as-subst    |+0.84  |  discogem_multi_leaves_continuous_CLR_spearman
synchronous+++   |succession       |+0.71  |  discogem_multi_leaves_continuous_CLR_kendall
synchronous+++   |arg1-as-cond     |+0.79  |  discogem_multi_leaves_continuous_CLR_kendall
synchronous+++   |arg2-as-cond     |+0.79  |  discogem_multi_leaves_continuous_CLR_kendall
synchronous+++   |arg1-as-negcond  |+0.79  |  discogem_multi_leaves_continuous_CLR_kendall
synchronous+++   |arg2-as-negcond  |+0.79  |  discogem_multi_leaves_continuous_CLR_kendall
synchronous+++   |arg1-as-goal     |+0.79  |  discogem_multi_leaves_continuous_CLR_kendall
synchronous+++   |arg2-as-goal     |+0.79  |  discogem_multi_leaves_continuous_CLR_kendall
synchronous+++   |disjunction      |+0.78  |  discogem_multi_leaves_continuous_CLR_kendall
synchronous+++   |arg1-as-instance |+0.74  |  discogem_multi_leaves_continuous_CLR_kendall
synchronous+++   |equivalence      |+0.72  |  discogem_multi_leaves_continuous_CLR_kendall
synchronous+++   |arg1-as-manner   |+0.79  |  discogem_multi_leaves_continuous_CLR_kendall
synchronous+++   |arg2-as-manner   |+0.78  |  discogem_multi_leaves_continuous_CLR_kendall
synchronous+++   |arg1-as-excpt    |+0.79  |  discogem_multi_leaves_continuous_CLR_kendall
synchronous+++   |arg2-as-excpt    |+0.79  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |arg1-as-cond     |+0.88  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |arg2-as-cond     |+0.88  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |arg1-as-negcond  |+0.88  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |arg2-as-negcond  |+0.88  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |arg1-as-goal     |+0.88  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |arg2-as-goal     |+0.88  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |disjunction      |+0.87  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |arg1-as-instance |+0.82  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |equivalence      |+0.80  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |arg1-as-manner   |+0.88  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |arg2-as-manner   |+0.87  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |arg1-as-excpt    |+0.88  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |arg2-as-excpt    |+0.88  |  discogem_multi_leaves_continuous_CLR_kendall
succession       |arg2-as-subst    |+0.76  |  discogem_multi_leaves_continuous_CLR_kendall
result+++        |arg2-as-detail+++|-0.16  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |arg2-as-cond     |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |arg1-as-negcond  |+1.00  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |arg2-as-negcond  |+1.00  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |arg1-as-goal     |+1.00  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |arg2-as-goal     |+1.00  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |similarity+++    |+0.72  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |disjunction      |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |arg1-as-instance |+0.94  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |equivalence      |+0.92  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |arg1-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |arg2-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |arg1-as-excpt    |+1.00  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-cond     |arg2-as-subst    |+0.87  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-cond     |arg1-as-negcond  |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-cond     |arg2-as-negcond  |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-cond     |arg1-as-goal     |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-cond     |arg2-as-goal     |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-cond     |similarity+++    |+0.72  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-cond     |disjunction      |+0.98  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-cond     |arg1-as-instance |+0.94  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-cond     |equivalence      |+0.91  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-cond     |arg1-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-cond     |arg2-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-cond     |arg1-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-cond     |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-cond     |arg2-as-subst    |+0.87  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-negcond  |arg2-as-negcond  |+1.00  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-negcond  |arg1-as-goal     |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-negcond  |arg2-as-goal     |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-negcond  |similarity+++    |+0.72  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-negcond  |disjunction      |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-negcond  |arg1-as-instance |+0.93  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-negcond  |equivalence      |+0.91  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-negcond  |arg1-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-negcond  |arg2-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-negcond  |arg1-as-excpt    |+1.00  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-negcond  |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-negcond  |arg2-as-subst    |+0.87  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-negcond  |arg1-as-goal     |+1.00  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-negcond  |arg2-as-goal     |+1.00  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-negcond  |similarity+++    |+0.72  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-negcond  |disjunction      |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-negcond  |arg1-as-instance |+0.94  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-negcond  |equivalence      |+0.92  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-negcond  |arg1-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-negcond  |arg2-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-negcond  |arg1-as-excpt    |+1.00  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-negcond  |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-negcond  |arg2-as-subst    |+0.87  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-goal     |arg2-as-goal     |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-goal     |similarity+++    |+0.72  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-goal     |disjunction      |+0.98  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-goal     |arg1-as-instance |+0.94  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-goal     |equivalence      |+0.91  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-goal     |arg1-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-goal     |arg2-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-goal     |arg1-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-goal     |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-goal     |arg2-as-subst    |+0.87  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-goal     |similarity+++    |+0.72  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-goal     |disjunction      |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-goal     |arg1-as-instance |+0.94  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-goal     |equivalence      |+0.91  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-goal     |arg1-as-manner   |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-goal     |arg2-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-goal     |arg1-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-goal     |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-goal     |arg2-as-subst    |+0.87  |  discogem_multi_leaves_continuous_CLR_kendall
similarity+++    |disjunction      |+0.72  |  discogem_multi_leaves_continuous_CLR_kendall
similarity+++    |arg1-as-manner   |+0.72  |  discogem_multi_leaves_continuous_CLR_kendall
similarity+++    |arg2-as-manner   |+0.71  |  discogem_multi_leaves_continuous_CLR_kendall
similarity+++    |arg1-as-excpt    |+0.72  |  discogem_multi_leaves_continuous_CLR_kendall
similarity+++    |arg2-as-excpt    |+0.72  |  discogem_multi_leaves_continuous_CLR_kendall
disjunction      |arg1-as-instance |+0.93  |  discogem_multi_leaves_continuous_CLR_kendall
disjunction      |equivalence      |+0.91  |  discogem_multi_leaves_continuous_CLR_kendall
disjunction      |arg1-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_kendall
disjunction      |arg2-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_kendall
disjunction      |arg1-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
disjunction      |arg2-as-excpt    |+0.98  |  discogem_multi_leaves_continuous_CLR_kendall
disjunction      |arg2-as-subst    |+0.87  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-instance |equivalence      |+0.86  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-instance |arg1-as-manner   |+0.93  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-instance |arg2-as-manner   |+0.93  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-instance |arg1-as-excpt    |+0.94  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-instance |arg2-as-excpt    |+0.93  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-instance |arg2-as-subst    |+0.82  |  discogem_multi_leaves_continuous_CLR_kendall
equivalence      |arg1-as-manner   |+0.91  |  discogem_multi_leaves_continuous_CLR_kendall
equivalence      |arg2-as-manner   |+0.91  |  discogem_multi_leaves_continuous_CLR_kendall
equivalence      |arg1-as-excpt    |+0.92  |  discogem_multi_leaves_continuous_CLR_kendall
equivalence      |arg2-as-excpt    |+0.91  |  discogem_multi_leaves_continuous_CLR_kendall
equivalence      |arg2-as-subst    |+0.81  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-manner   |arg2-as-manner   |+0.98  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-manner   |arg1-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-manner   |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-manner   |arg2-as-subst    |+0.87  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-manner   |arg1-as-excpt    |+0.98  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-manner   |arg2-as-excpt    |+0.98  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-manner   |arg2-as-subst    |+0.86  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-excpt    |arg2-as-excpt    |+0.99  |  discogem_multi_leaves_continuous_CLR_kendall
arg1-as-excpt    |arg2-as-subst    |+0.87  |  discogem_multi_leaves_continuous_CLR_kendall
arg2-as-excpt    |arg2-as-subst    |+0.87  |  discogem_multi_leaves_continuous_CLR_kendall
asynchronous+++  |level-of-detail+++|-0.30  |  discogem_multi_level2_continuous_CLR_pearson
condition        |negative-condition|+0.76  |  discogem_multi_level2_continuous_CLR_pearson
negative-condition|exception        |+0.75  |  discogem_multi_level2_continuous_CLR_pearson
synchronous+++   |condition        |+0.74  |  discogem_multi_level2_continuous_CLR_spearman
synchronous+++   |negative-condition|+0.74  |  discogem_multi_level2_continuous_CLR_spearman
synchronous+++   |purpose          |+0.74  |  discogem_multi_level2_continuous_CLR_spearman
synchronous+++   |disjunction      |+0.74  |  discogem_multi_level2_continuous_CLR_spearman
synchronous+++   |manner           |+0.73  |  discogem_multi_level2_continuous_CLR_spearman
synchronous+++   |exception        |+0.74  |  discogem_multi_level2_continuous_CLR_spearman
asynchronous+++  |level-of-detail+++|-0.25  |  discogem_multi_level2_continuous_CLR_spearman
condition        |negative-condition|+0.99  |  discogem_multi_level2_continuous_CLR_spearman
condition        |purpose          |+0.98  |  discogem_multi_level2_continuous_CLR_spearman
condition        |disjunction      |+0.98  |  discogem_multi_level2_continuous_CLR_spearman
condition        |equivalence      |+0.89  |  discogem_multi_level2_continuous_CLR_spearman
condition        |manner           |+0.97  |  discogem_multi_level2_continuous_CLR_spearman
condition        |exception        |+0.98  |  discogem_multi_level2_continuous_CLR_spearman
condition        |substitution     |+0.84  |  discogem_multi_level2_continuous_CLR_spearman
negative-condition|purpose          |+0.98  |  discogem_multi_level2_continuous_CLR_spearman
negative-condition|disjunction      |+0.98  |  discogem_multi_level2_continuous_CLR_spearman
negative-condition|equivalence      |+0.90  |  discogem_multi_level2_continuous_CLR_spearman
negative-condition|manner           |+0.97  |  discogem_multi_level2_continuous_CLR_spearman
negative-condition|exception        |+0.99  |  discogem_multi_level2_continuous_CLR_spearman
